UNITID,ACTCM25,ACTCM75,ACTCMMID,ACTEN25,ACTEN75,ACTENMID,ACTMT25,ACTMT75,ACTMTMID,ACTWR25,ACTWR75,ACTWRMID,C200_L4_POOLED_SUPP,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN_SUPP,NPT41_PRIV,NPT41_PUB,NPT42_PRIV,NPT42_PUB,NPT43_PRIV,NPT43_PUB,NPT44_PRIV,NPT44_PUB,NPT45_PRIV,NPT45_PUB,NPT4_PRIV,NPT4_PUB,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,PCTFLOAN,PCTPELL,PPTUG_EF,RET_FTL4,RET_PTL4,RPY_3YR_RT_SUPP,SATMT25,SATMT75,SATMTMID,SATVR25,SATVR75,SATVRMID,SATWR25,SATWR75,SATWRMID,SAT_AVG,SAT_AVG_ALL,UG25abv,UGDS,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,gt_25k_p6,md_earn_wne_p10
111920,,,,,,,,,,,,,0.30485876893,113.7960125,10250.0,,5504.0,,,,,,,,,,5504.0,0.0,0.0,0.0061,0.0,0.0133,0.002,0.001,0.0,0.0,0.0164,0.0,0.0072,0.047,0.0,0.0031,0.2464,0.0,0.0532,0.0133,0.0,0.0624,0.002,0.0,0.0,0.0061,0.0,0.0072,0.0348,0.0072,0.0153,0.001,0.0838,0.0368,0.0,0.0164,0.0777,0.2403,0.0,0.0212,0.2546,0.6781,0.7734,0.4708,0.381443298969,,,,,,,,,,,,0.3939,12082.0,0.0541,0.0026,0.2356,0.132,0.3494,0.0193,0.0056,0.0158,0.1855,0.51748251915,32900.0
111939,,,,,,,,,,,,,0.278936379822,,,,7933.0,,,,,,,,,,7933.0,0.0,0.0,0.0,0.0,0.0114,0.0067,0.048,0.0034,0.0067,0.0008,0.0013,0.0038,0.0156,0.0051,0.0017,0.48,0.0,0.0017,0.0021,0.0,0.1044,0.0,0.0038,0.0,0.0038,0.0,0.0063,0.0387,0.0,0.0202,0.0316,0.0345,0.0,0.0,0.0114,0.0737,0.0745,0.0088,0.0,0.3683,0.6786,0.7315,0.6132,0.583333333333,,,,,,,,,,,,0.3058,17217.0,0.0328,0.0023,0.0609,0.0893,0.5822,0.002,0.0099,0.0254,0.1952,0.458556711674,28100.0
130004,,,,,,,,,,,,,0.141288603531,,,,8260.0,,8464.0,,8852.0,,10907.0,,11774.0,,8455.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0238,0.0267,0.0921,0.0193,0.0267,0.0,0.0015,0.0342,0.0,0.2823,0.0,0.0,0.0,0.0,0.0059,0.0119,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0045,0.0,0.0,0.0,0.0,0.0401,0.2125,0.1545,0.0,0.0044,0.3354,0.6072,0.6696,0.5432,0.75,,,,,,,,,,,,0.3804,5133.0,0.0121,0.0019,0.044,0.1966,0.34,0.0025,0.0164,0.0583,0.3283,0.559274733067,31900.0
144193,,,,,,,,,,,,,0.142326748466,72.163325,6500.0,,4571.0,,5386.0,,7055.0,,9687.0,,9687.0,,4969.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0388,0.0,0.0,0.0139,0.0269,0.0,0.1204,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.1323,0.0,0.0,0.0328,0.0129,0.0,0.0,0.0,0.3353,0.0746,0.0,0.0283,0.2923,0.4828,0.4717,0.3819,0.661290322581,,,,,,,,,,,,0.575,4791.0,0.0092,0.0021,0.0146,0.3118,0.5291,0.0004,0.0002,0.0288,0.1037,0.429065734148,29000.0
144944,,,,,,,,,,,,,0.349113333333,88.84970615,8003.0,,2566.0,,3819.0,,4964.0,,7257.0,,7801.0,,4200.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0105,0.0612,0.0,0.0056,0.0395,0.0,0.0221,0.0189,0.0,0.2283,0.0,0.0,0.0,0.0,0.0793,0.0008,0.0,0.0,0.0,0.0052,0.0,0.0515,0.0121,0.0,0.0,0.1345,0.0278,0.0209,0.0117,0.219,0.0459,0.0,0.1312,0.4031,0.5867,0.767,0.5294,0.63905775076,,,,,,,,,,,,0.3903,8599.0,0.0263,0.0021,0.0564,0.0554,0.2965,0.0007,0.005,0.0264,0.5312,0.518635988235,31300.0
145682,,,,,,,,,,,,,0.277682575107,75.799246375,6827.5,,5272.0,,6290.0,,8766.0,,9934.0,,9948.0,,6437.0,0.0275,0.0,0.0,0.0,0.0,0.0026,0.0581,0.0143,0.0,0.0132,0.0143,0.0127,0.0158,0.0137,0.0,0.4593,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0011,0.0,0.0428,0.0211,0.0,0.0048,0.2281,0.0444,0.0,0.1282,0.2985,0.5565,0.6055,0.3197,0.539355322339,,,,,,,,,,,,0.3264,7882.0,0.0241,0.0025,0.0152,0.1152,0.0363,0.0011,0.0001,0.0463,0.7591,0.473658770323,32000.0
158431,,,,,,,,,,,,,0.169342654867,160.25809175,14435.0,,7522.0,,8207.0,,10307.0,,11652.0,,12020.0,,8051.0,0.0,0.0,0.0,0.0,0.0,0.0811,0.0592,0.022,0.0051,0.0017,0.0524,0.0,0.0085,0.0051,0.0,0.2553,0.0,0.0,0.0,0.0,0.0499,0.0,0.0,0.0,0.0,0.0,0.0,0.0473,0.0,0.0,0.0,0.0025,0.0,0.0,0.0355,0.2401,0.1344,0.0,0.6244,0.7067,0.3895,0.5141,0.3842,0.425300515169,,,,,,,,,,,,0.3937,7222.0,0.0151,0.0064,0.0078,0.4136,0.0994,0.001,0.0021,0.0154,0.4394,0.444755256176,29200.0
158884,,,,,,,,,,,,,0.173932806324,61.061275,5500.0,,7657.0,,8522.0,,8981.0,,11021.0,,,,7890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0173,0.013,0.0,0.0931,0.0,0.0844,0.0433,0.0,0.1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0152,0.026,0.0,0.0,0.381,0.1104,0.0,0.0403,0.6384,0.4603,0.4348,0.3802,0.608910891089,,,,,,,,,,,,0.3536,1675.0,0.0233,0.0066,0.0167,0.4967,0.0501,0.003,0.0024,0.0287,0.3725,0.443197757006,24500.0
174428,,,,,,,,,,,,,0.188039657334,149.877675,13500.0,,12089.0,,12495.0,,14760.0,,17049.0,,17423.0,,13893.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0114,0.0028,0.0149,0.0185,0.0085,0.0,0.0,0.0,0.0107,0.5871,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0,0.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.2544,0.0462,0.0,0.3743,0.3605,0.5601,0.5539,0.4684,0.686599619462,,,,,,,,,,,,0.3249,7751.0,0.0528,0.0044,0.0844,0.1579,0.0805,0.0019,0.0081,0.0065,0.6035,0.623307526112,37000.0
199494,,,,,,,,,,,,,0.458900684932,105.469475,9500.0,,4831.0,,4749.0,,6896.0,,9155.0,,,,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0826,0.0416,0.0,0.0254,0.0,0.0,0.0,0.0,0.2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0,0.0621,0.0,0.0,0.0169,0.1143,0.0325,0.0,0.0,0.1489,0.1553,0.0,0.1597,0.793,0.5892,0.5085,0.2215,,,,,,,,,,,,,0.4702,5842.0,0.0228,0.0046,0.0098,0.2574,0.0626,0.0003,0.0,0.0195,0.6229,0.343419075012,24000.0
226019,,,,,,,,,,,,,0.204084923077,127.673575,11500.0,,4476.0,,5344.0,,6143.0,,5884.0,,,,4875.0,0.0007,0.0,0.0014,0.0,0.0089,0.0,0.0123,0.0491,0.0389,0.0109,0.0893,0.0,0.0034,0.0157,0.0027,0.0811,0.0,0.0,0.0027,0.0,0.0027,0.0,0.0,0.0,0.0027,0.015,0.0089,0.2154,0.0,0.0048,0.0,0.062,0.0266,0.0,0.0307,0.2243,0.09,0.0,0.2267,0.3047,0.5482,0.5584,0.4899,0.452609158679,,,,,,,,,,,,0.3106,5764.0,0.0236,0.0043,0.0071,0.2049,0.1381,0.0005,0.0062,0.0083,0.6069,0.457535892725,26500.0
