,NAME OF DATA ELEMENT,dev-category,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE
1,8-digit OPE ID for institution,root,integer,OPEID,,,IPEDS
2,6-digit OPE ID for institution,root,integer,opeid6,,,IPEDS
3,Institution name,school,autocomplete,INSTNM,,,IPEDS
4,City,school,autocomplete,CITY,,,IPEDS
5,State postcode,school,string,STABBR,,,IPEDS
8,URL for institution's homepage,school,string,INSTURL,,,IPEDS
9,URL for institution's net price calculator,school,string,NPCURL,,,IPEDS
1826,Schools that are on Heightened Cash Monitoring 2 by the Department of Education,school,integer,HCM2,,,FSA
14,"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",school,integer,PREDDEG,0.0,Not classified,IPEDS
15,"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",school,integer,PREDDEG,1.0,Predominantly certificate-degree granting,IPEDS
16,"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",school,integer,PREDDEG,2.0,Predominantly associate's-degree granting,IPEDS
17,"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",school,integer,PREDDEG,3.0,Predominantly bachelor's-degree granting,IPEDS
18,"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting",school,integer,PREDDEG,4.0,Entirely graduate-degree granting,IPEDS
24,Control of institution,school,integer,CONTROL,1.0,Public,IPEDS
25,Control of institution,school,integer,CONTROL,2.0,Private nonprofit,IPEDS
26,Control of institution,school,integer,CONTROL,3.0,Private for-profit,IPEDS
95,Locale of institution,school,integer,LOCALE,11.0,"City: Large (population of 250,000 or more)",IPEDS
96,Locale of institution,school,integer,LOCALE,12.0,"City: Midsize (population of at least 100,000 but less than 250,000)",IPEDS
97,Locale of institution,school,integer,LOCALE,13.0,"City: Small (population less than 100,000)",IPEDS
98,Locale of institution,school,integer,LOCALE,21.0,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)",IPEDS
