UNITID,ACTCM25,ACTCM75,ACTCMMID,ACTEN25,ACTEN75,ACTENMID,ACTMT25,ACTMT75,ACTMTMID,ACTWR25,ACTWR75,ACTWRMID,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN_SUPP,NPT41_PRIV,NPT41_PUB,NPT42_PRIV,NPT42_PUB,NPT43_PRIV,NPT43_PUB,NPT44_PRIV,NPT44_PUB,NPT45_PRIV,NPT45_PUB,NPT4_PRIV,NPT4_PUB,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,PCTFLOAN,PCTPELL,PPTUG_EF,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,RPY_3YR_RT_SUPP,SATMT25,SATMT75,SATMTMID,SATVR25,SATVR75,SATVRMID,SATWR25,SATWR75,SATWRMID,SAT_AVG,SAT_AVG_ALL,UG25abv,UGDS,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,gt_25k_p6,md_earn_wne_p10
110486,15.0,22.0,19.0,14.0,21.0,18.0,16.0,23.0,20.0,,,,0.390511967309,,179.570107725,16174.5,,6299.0,,7357.0,,11693.0,,16253.0,,17501.0,,8634.0,0.0,0.0108,0.0,0.0,0.0412,0.0,0.0115,0.0,0.0378,0.0014,0.0,0.0101,0.0,0.0,0.0399,0.1345,0.0,0.0378,0.0169,0.0,0.0068,0.0331,0.0074,0.0,0.0311,0.0,0.0851,0.0966,0.0108,0.0872,0.0,0.0,0.0,0.0,0.0331,0.0588,0.1811,0.027,0.4158,0.5843,0.0995,0.7442,,0.3143,,0.738342967245,400.0,520.0,460.0,390.0,500.0,445.0,,,,901.0,901.0,0.2056,7226.0,0.0309,0.0073,0.065,0.0656,0.4979,0.0017,0.0255,0.1102,0.196,0.650056600571,48100.0
110635,27.0,33.0,30.0,26.0,34.0,30.0,27.0,34.0,31.0,,,,0.908562721964,,162.83376735,14667.0,,8506.0,,9752.0,,13944.0,,21066.0,,28596.0,,13769.0,0.0,0.0494,0.0203,0.0332,0.0311,0.0,0.0192,0.0,0.0,0.1173,0.0,0.0291,0.0,0.0159,0.0581,0.0,0.0,0.1168,0.0383,0.0,0.0495,0.0,0.0145,0.0,0.0315,0.0,0.0439,0.0,0.0131,0.2069,0.0,0.0,0.0,0.0,0.0316,0.0147,0.0437,0.0217,0.3021,0.3237,0.0282,0.9637,,0.8286,,0.893109372018,630.0,770.0,700.0,590.0,720.0,655.0,620.0,750.0,685.0,1350.0,1350.0,0.0621,25951.0,0.0453,0.0012,0.3494,0.0221,0.132,0.0028,0.1313,0.0304,0.2857,0.735725939274,62700.0
110918,,,,,,,,,,,,,0.22498,,,,11159.0,,12309.0,,,,,,,,11734.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5429,0.5429,0.4,1.0,,,,,,,,,,,,,,,,0.5,30.0,0.2667,0.0333,0.0,0.2,0.2333,0.0,0.0333,0.0,0.2333,,
111188,21.0,26.0,24.0,19.0,26.0,23.0,22.0,27.0,25.0,,,,0.58333,,288.6533,26000.0,,11371.0,,13434.0,,14795.0,,18849.0,,21819.0,,16974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149,0.1782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1609,0.0,0.0,0.0,0.408,0.0,0.0,0.1379,0.0,0.6043,0.3762,0.0354,0.8214,,0.5,,0.907534246575,490.0,610.0,550.0,470.0,580.0,525.0,,,,1080.0,1080.0,0.1847,1044.0,0.0852,0.0038,0.0824,0.0239,0.1561,0.0067,0.0048,0.0584,0.5785,0.765550255775,81100.0
111920,,,,,,,,,,,,,,0.30485876893,113.7960125,10250.0,,5504.0,,,,,,,,,,5504.0,0.0,0.0,0.0061,0.0,0.0133,0.002,0.001,0.0,0.0,0.0164,0.0,0.0072,0.047,0.0,0.0031,0.2464,0.0,0.0532,0.0133,0.0,0.0624,0.002,0.0,0.0,0.0061,0.0,0.0072,0.0348,0.0072,0.0153,0.001,0.0838,0.0368,0.0,0.0164,0.0777,0.2403,0.0,0.0212,0.2546,0.6781,,0.7734,,0.4708,0.381443298969,,,,,,,,,,,,0.3939,12082.0,0.0541,0.0026,0.2356,0.132,0.3494,0.0193,0.0056,0.0158,0.1855,0.51748251915,32900.0
111939,,,,,,,,,,,,,,0.278936379822,,,,7933.0,,,,,,,,,,7933.0,0.0,0.0,0.0,0.0,0.0114,0.0067,0.048,0.0034,0.0067,0.0008,0.0013,0.0038,0.0156,0.0051,0.0017,0.48,0.0,0.0017,0.0021,0.0,0.1044,0.0,0.0038,0.0,0.0038,0.0,0.0063,0.0387,0.0,0.0202,0.0316,0.0345,0.0,0.0,0.0114,0.0737,0.0745,0.0088,0.0,0.3683,0.6786,,0.7315,,0.6132,0.583333333333,,,,,,,,,,,,0.3058,17217.0,0.0328,0.0023,0.0609,0.0893,0.5822,0.002,0.0099,0.0254,0.1952,0.458556711674,28100.0
128498,,,,,,,,,,,,,0.559993666667,,321.95945,29000.0,21573.0,,20713.0,,22937.0,,24591.0,,23408.0,,22320.0,,0.0,0.0,0.0,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0596,0.0,0.0069,0.0023,0.0,0.0,0.0092,0.0138,0.0,0.0,0.0,0.0872,0.0573,0.0298,0.0849,0.0,0.0,0.0,0.0,0.0092,0.0,0.5665,0.0138,0.7824,0.5811,0.0618,0.9256,,1.0,,0.751491053678,320.0,480.0,400.0,380.0,480.0,430.0,410.0,470.0,440.0,830.0,830.0,0.5133,1278.0,0.0141,0.0023,0.0141,0.277,0.1354,0.0,0.0016,0.108,0.4476,0.753776431084,52200.0
128902,,,,,,,,,,,,,0.843026605505,,267.0043025,24050.0,6586.0,,16861.0,,23918.0,,29461.0,,43266.0,,31373.0,,0.0,0.0,0.0293,0.045,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0203,0.027,0.0,0.0631,0.0,0.0,0.1937,0.0293,0.0,0.0113,0.0,0.0203,0.0,0.0113,0.0,0.0923,0.0,0.0,0.2838,0.0,0.0,0.0,0.0,0.1081,0.0,0.0,0.0473,0.3998,0.1298,0.0027,0.8827,,,,0.961340206186,,,,,,,,,,,,0.0115,1878.0,0.0261,0.0,0.033,0.0399,0.0905,0.0011,0.0501,0.0596,0.6997,0.659259259701,51000.0
130004,,,,,,,,,,,,,,0.141288603531,,,,8260.0,,8464.0,,8852.0,,10907.0,,11774.0,,8455.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0238,0.0267,0.0921,0.0193,0.0267,0.0,0.0015,0.0342,0.0,0.2823,0.0,0.0,0.0,0.0,0.0059,0.0119,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0045,0.0,0.0,0.0,0.0,0.0401,0.2125,0.1545,0.0,0.0044,0.3354,0.6072,,0.6696,,0.5432,0.75,,,,,,,,,,,,0.3804,5133.0,0.0121,0.0019,0.044,0.1966,0.34,0.0025,0.0164,0.0583,0.3283,0.559274733067,31900.0
144193,,,,,,,,,,,,,,0.142326748466,72.163325,6500.0,,4571.0,,5386.0,,7055.0,,9687.0,,9687.0,,4969.0,0.0119,0.0,0.0,0.0,0.0,0.0,0.0388,0.0,0.0,0.0139,0.0269,0.0,0.1204,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.1323,0.0,0.0,0.0328,0.0129,0.0,0.0,0.0,0.3353,0.0746,0.0,0.0283,0.2923,0.4828,,0.4717,,0.3819,0.661290322581,,,,,,,,,,,,0.575,4791.0,0.0092,0.0021,0.0146,0.3118,0.5291,0.0004,0.0002,0.0288,0.1037,0.429065734148,29000.0
